scenario,shortfall_hours,reliability
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,24.6,0.9985029940119761
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
6p Solar+Fission,0.0,1.0
