shortfall_hours,max_shortfall_kw,storm_sols,reliability,sim,scenario
0.0,0.0,8,1.0,281,6p Solar+Fission
0.0,0.0,13,1.0,282,6p Solar+Fission
0.0,0.0,14,1.0,283,6p Solar+Fission
0.0,0.0,16,1.0,284,6p Solar+Fission
0.0,0.0,46,1.0,285,6p Solar+Fission
0.0,0.0,30,1.0,286,6p Solar+Fission
0.0,0.0,30,1.0,287,6p Solar+Fission
0.0,0.0,26,1.0,288,6p Solar+Fission
0.0,0.0,0,1.0,289,6p Solar+Fission
0.0,0.0,42,1.0,290,6p Solar+Fission
0.0,0.0,4,1.0,291,6p Solar+Fission
0.0,0.0,19,1.0,292,6p Solar+Fission
0.0,0.0,53,1.0,293,6p Solar+Fission
0.0,0.0,41,1.0,294,6p Solar+Fission
0.0,0.0,37,1.0,295,6p Solar+Fission
0.0,0.0,14,1.0,296,6p Solar+Fission
0.0,0.0,31,1.0,297,6p Solar+Fission
0.0,0.0,1,1.0,298,6p Solar+Fission
0.0,0.0,1,1.0,299,6p Solar+Fission
0.0,0.0,38,1.0,300,6p Solar+Fission
0.0,0.0,9,1.0,301,6p Solar+Fission
24.6,20.168590691265493,39,0.9985029940119761,302,6p Solar+Fission
0.0,0.0,35,1.0,303,6p Solar+Fission
0.0,0.0,13,1.0,304,6p Solar+Fission
0.0,0.0,24,1.0,305,6p Solar+Fission
0.0,0.0,9,1.0,306,6p Solar+Fission
0.0,0.0,13,1.0,307,6p Solar+Fission
0.0,0.0,22,1.0,308,6p Solar+Fission
0.0,0.0,16,1.0,309,6p Solar+Fission
0.0,0.0,12,1.0,310,6p Solar+Fission
0.0,0.0,37,1.0,311,6p Solar+Fission
24.6,17.076018953060064,49,0.9985029940119761,312,6p Solar+Fission
0.0,0.0,12,1.0,313,6p Solar+Fission
0.0,0.0,31,1.0,314,6p Solar+Fission
0.0,0.0,11,1.0,315,6p Solar+Fission
0.0,0.0,56,1.0,316,6p Solar+Fission
0.0,0.0,74,1.0,317,6p Solar+Fission
0.0,0.0,60,1.0,318,6p Solar+Fission
0.0,0.0,39,1.0,319,6p Solar+Fission
0.0,0.0,10,1.0,320,6p Solar+Fission
0.0,0.0,11,1.0,321,6p Solar+Fission
0.0,0.0,49,1.0,322,6p Solar+Fission
0.0,0.0,13,1.0,323,6p Solar+Fission
0.0,0.0,3,1.0,324,6p Solar+Fission
0.0,0.0,34,1.0,325,6p Solar+Fission
0.0,0.0,33,1.0,326,6p Solar+Fission
0.0,0.0,16,1.0,327,6p Solar+Fission
0.0,0.0,14,1.0,328,6p Solar+Fission
0.0,0.0,30,1.0,329,6p Solar+Fission
0.0,0.0,66,1.0,330,6p Solar+Fission
0.0,0.0,45,1.0,331,6p Solar+Fission
0.0,0.0,5,1.0,332,6p Solar+Fission
0.0,0.0,34,1.0,333,6p Solar+Fission
0.0,0.0,51,1.0,334,6p Solar+Fission
0.0,0.0,15,1.0,335,6p Solar+Fission
0.0,0.0,23,1.0,336,6p Solar+Fission
0.0,0.0,10,1.0,337,6p Solar+Fission
0.0,0.0,4,1.0,338,6p Solar+Fission
0.0,0.0,17,1.0,339,6p Solar+Fission
0.0,0.0,37,1.0,340,6p Solar+Fission
0.0,0.0,12,1.0,341,6p Solar+Fission
0.0,0.0,7,1.0,342,6p Solar+Fission
0.0,0.0,8,1.0,343,6p Solar+Fission
0.0,0.0,17,1.0,344,6p Solar+Fission
0.0,0.0,44,1.0,345,6p Solar+Fission
0.0,0.0,11,1.0,346,6p Solar+Fission
0.0,0.0,51,1.0,347,6p Solar+Fission
0.0,0.0,61,1.0,348,6p Solar+Fission
0.0,0.0,16,1.0,349,6p Solar+Fission
0.0,0.0,9,1.0,350,6p Solar+Fission
0.0,0.0,32,1.0,351,6p Solar+Fission
0.0,0.0,54,1.0,352,6p Solar+Fission
0.0,0.0,1,1.0,353,6p Solar+Fission
0.0,0.0,24,1.0,354,6p Solar+Fission
0.0,0.0,36,1.0,355,6p Solar+Fission
0.0,0.0,3,1.0,356,6p Solar+Fission
0.0,0.0,0,1.0,357,6p Solar+Fission
0.0,0.0,11,1.0,358,6p Solar+Fission
0.0,0.0,39,1.0,359,6p Solar+Fission
0.0,0.0,46,1.0,360,6p Solar+Fission
0.0,0.0,38,1.0,361,6p Solar+Fission
0.0,0.0,6,1.0,362,6p Solar+Fission
0.0,0.0,51,1.0,363,6p Solar+Fission
0.0,0.0,4,1.0,364,6p Solar+Fission
0.0,0.0,11,1.0,365,6p Solar+Fission
0.0,0.0,2,1.0,366,6p Solar+Fission
0.0,0.0,35,1.0,367,6p Solar+Fission
0.0,0.0,9,1.0,368,6p Solar+Fission
0.0,0.0,63,1.0,369,6p Solar+Fission
0.0,0.0,12,1.0,370,6p Solar+Fission
0.0,0.0,12,1.0,371,6p Solar+Fission
0.0,0.0,39,1.0,372,6p Solar+Fission
0.0,0.0,5,1.0,373,6p Solar+Fission
0.0,0.0,28,1.0,374,6p Solar+Fission
0.0,0.0,9,1.0,375,6p Solar+Fission
0.0,0.0,16,1.0,376,6p Solar+Fission
0.0,0.0,34,1.0,377,6p Solar+Fission
0.0,0.0,9,1.0,378,6p Solar+Fission
0.0,0.0,2,1.0,379,6p Solar+Fission
0.0,0.0,12,1.0,380,6p Solar+Fission
0.0,0.0,37,1.0,381,6p Solar+Fission
0.0,0.0,2,1.0,382,6p Solar+Fission
0.0,0.0,4,1.0,383,6p Solar+Fission
0.0,0.0,3,1.0,384,6p Solar+Fission
0.0,0.0,6,1.0,385,6p Solar+Fission
0.0,0.0,14,1.0,386,6p Solar+Fission
0.0,0.0,39,1.0,387,6p Solar+Fission
0.0,0.0,25,1.0,388,6p Solar+Fission
0.0,0.0,51,1.0,389,6p Solar+Fission
0.0,0.0,7,1.0,390,6p Solar+Fission
0.0,0.0,15,1.0,391,6p Solar+Fission
0.0,0.0,8,1.0,392,6p Solar+Fission
0.0,0.0,7,1.0,393,6p Solar+Fission
0.0,0.0,28,1.0,394,6p Solar+Fission
0.0,0.0,7,1.0,395,6p Solar+Fission
0.0,0.0,20,1.0,396,6p Solar+Fission
0.0,0.0,11,1.0,397,6p Solar+Fission
0.0,0.0,35,1.0,398,6p Solar+Fission
0.0,0.0,8,1.0,399,6p Solar+Fission
0.0,0.0,2,1.0,400,6p Solar+Fission
0.0,0.0,16,1.0,401,6p Solar+Fission
0.0,0.0,74,1.0,402,6p Solar+Fission
0.0,0.0,48,1.0,403,6p Solar+Fission
0.0,0.0,3,1.0,404,6p Solar+Fission
0.0,0.0,38,1.0,405,6p Solar+Fission
0.0,0.0,3,1.0,406,6p Solar+Fission
0.0,0.0,15,1.0,407,6p Solar+Fission
0.0,0.0,39,1.0,408,6p Solar+Fission
0.0,0.0,9,1.0,409,6p Solar+Fission
0.0,0.0,3,1.0,410,6p Solar+Fission
0.0,0.0,1,1.0,411,6p Solar+Fission
0.0,0.0,17,1.0,412,6p Solar+Fission
0.0,0.0,35,1.0,413,6p Solar+Fission
0.0,0.0,36,1.0,414,6p Solar+Fission
0.0,0.0,28,1.0,415,6p Solar+Fission
0.0,0.0,34,1.0,416,6p Solar+Fission
0.0,0.0,32,1.0,417,6p Solar+Fission
0.0,0.0,1,1.0,418,6p Solar+Fission
0.0,0.0,34,1.0,419,6p Solar+Fission
0.0,0.0,15,1.0,420,6p Solar+Fission
0.0,0.0,42,1.0,421,6p Solar+Fission
0.0,0.0,12,1.0,422,6p Solar+Fission
0.0,0.0,1,1.0,423,6p Solar+Fission
